name,property_type_name,district_name,bedroom_count,Billion VND,area
"Bán nhanh nhà 6 tầng thang máy, ngoạ long cầu diễn, ôtô đỗ cổng, giá: 7.45 tỷ, lh [phone_number]",Nhà,Bắc Từ Liêm,4.0,7.45,37.0
Bán nhanh căn góc 3 ngủ/90m2 Sunshine Riverside - view sông Hồng - giá 7.4 tỷ có sổ. LH [phone_number],Căn hộ chung cư,Tây Hồ,3.0,7.4,90.0
"Phân lô, ô tô, vỉa hè - Phố Hoàng Quốc Việt, Cầu Giấy - DT 41m2, 4 tầng, mặt tiền 4,1m - Sổ đẹp",Nhà,Cầu Giấy,4.0,16.7,41.0
Bán nhà Hoàng Hoa Thám - Ngọc Hà - Ba Đình - 32m2 5.35 tỷ,Nhà,Ba Đình,3.0,5.35,32.0
Chính chủ bán căn hộ 66m² – 2 phòng ngủ full nội thất tại khu đô thị Thanh Hà Cienco 5,Căn hộ chung cư,Thanh Oai,2.0,2.64,66.0
"Bán nhà mặt phố Thuỵ Khuê, lô góc 3 thoáng, kinh doanh, vỉa hè, thang máy, ô tô vào nhà, miễn TG",Nhà,Tây Hồ,3.0,30.8,50.0
"(Giá thật) chính chủ bán căn 66m2, 3PN + tầng trung giá 5,95 tỷ chung cư Handi Resco",Căn hộ chung cư,Thanh Xuân,2.0,5.95,66.0
Nhà đẹp 5 sao - trung tâm Đống Đa - tặng full nội thất,Nhà,Đống Đa,3.0,6.35,30.0
"Em chính chủ cần bán nhà Định Công Thượng, quận Hoàng Mai, nhà 4 tầng, DT 70m2, SDCC. Lh",Nhà,Hoàng Mai,4.0,10.6,70.0
"Nhà Thạch Bàn lô góc vỉa hè ô tô tránh dừng đỗ, 55m2, 3 tầng, 4.5m mặt tiền, 11 tỷ",Nhà,Long Biên,4.0,11.0,55.0
"Nhà Vân Canh lô góc ô tô đỗ cổng gần ủy ban trường cấp 1,2 mầm non 32m2 5 tầng mặt tiền 4m 4 tỷ 55",Nhà,Hoài Đức,3.0,4.55,32.0
"Bán nhà 40m2, 4 tầng phân lô Vân Canh - Hoài Đức - Gần Vành Đai 3.5, ô tô tránh, vỉa hè, 9,95 tỷ",Nhà,Hoài Đức,5.0,9.95,40.0
"Căn hộ 3PN tại T&T Tower, Định Công, Hoàng Mai, Hà Nội, giá cực chất 6,5 tỷ, 90m2",Căn hộ chung cư,Hoàng Mai,3.0,6.5,90.0
Bán gấp nhà Âu Cơ - ô tô đỗ cửa - sân vườn thoáng sáng - 20m ra phố,Nhà,Tây Hồ,4.0,19.7,78.0
"Bán nhà Đại Mỗ 40m2, giá 6.3 tỷ có TL",Nhà,Nam Từ Liêm,4.0,6.3,40.0
"Cầu Giấy Trung Kính - 7.4 tỷ - Siêu phẩm nhà mới 5 tầng, mt hơn 4m, nội thất đầy đủ",Nhà,Cầu Giấy,4.0,7.4,38.0
"Chính chủ bán nhà Linh Đàm-Hoàng Mai 70m2 ô tô tránh,kinh doanh,view hồ giá chỉ 12 tỷ",Nhà,Hoàng Mai,4.0,12.0,70.0
"Cần bán nhà 30m2 x 6T - 7,4 tỷ, trung tâm Q. Đống Đa, chủ tặng full nội thất",Nhà,Đống Đa,4.0,7.4,30.0
Bán nhà cổ nhuế bắc từ liêm.dt31m.5t.mt3.1m nhà đẹp vào ở ngay.giá chỉ 6.6tỷ đầy đủ công năng,Nhà,Bắc Từ Liêm,4.0,6.6,35.0
"Chính chủ bán căn góc Sakura 47 Vũ Trọng Phụng: 90m2, 3PN, full nội thất đẹp. Giá 6tỷ,LH [phone_number]",Căn hộ chung cư,Thanh Xuân,3.0,6.0,90.0
Cần bán gấp duplex 1 ngủ PentStudio Tây Hồ full nội thất giá nhỉnh 5 tỷ.,Căn hộ chung cư,Tây Hồ,1.0,5.4,58.0
"BÁN NHÀ - Văn Hương 23m, ,4 tầng, mặt tiền 3.5m, 4.25 tỷ Đống Đa",Nhà,Đống Đa,2.0,4.25,23.0
"Bán CHCC Đền Lừ - Hoàng Mai. DT 60m2, 3 P ngủ. Giá 3,95 tỷ. Liên hệ",Căn hộ chung cư,Hoàng Mai,3.0,3.95,60.0
"Bán căn hộ duplex tại 671 Hoàng Hoa Thám, 9 tỷ, 145m2, 3PN, 2WC, Ba Đình, Hà Nội",Căn hộ chung cư,Ba Đình,3.0,9.0,145.0
Bán nhà phố Quan Hoa - Cầu Giấy ngõ nông gần phố - 5 tầng dân xây - Kinh doanh nhỏ DT 68m2 20.9 tỷ,Nhà,Cầu Giấy,6.0,20.9,68.0
"Cần Bán biệt thự căn góc, 55m2 KĐT Sông Đà, Vạn Phúc, Hà Đông, 2x tỷ VND",Biệt thự/Nhà liền kề,Hà Đông,4.0,22.0,55.0
"Cần bán gấp căn hộ siêu hiếm chung cư BID Residence 104 Tố Hữu dt 68.5m2, giá 45tr/m2 có 2PN 2WC",Căn hộ chung cư,Hà Đông,2.0,3.08,68.5
"Chính chủ gửi bán gấp! Căn 2N toà M1 tầng trung 55m2, nội thất CDT, sẵn sổ GD ngay - Giá 4 tỷ 3",Căn hộ chung cư,Gia Lâm,2.0,4.3,55.14
"Bán nhà phố nguyễn chí thanh , đống đa . 60m2 x 4m oto, kinh doanh , lô góc , nhà xây mới giá 13 ty",Nhà,Đống Đa,4.0,13.0,60.0
"Bán nhanh căn 1PN + sẵn sổ tầng 18 toà Mas A view nội khu, đủ nội thất như hình lh [phone_number]",Căn hộ chung cư,Nam Từ Liêm,2.0,3.65,42.0
Em cần thanh khoản căn CT12B Kim Văn Kim Lũ,Căn hộ chung cư,Hoàng Mai,2.0,3.38,65.0
"Căn Studio full nội thất D'Capitale Trần Duy Hưng sổ đỏ, đầu tư dòng tiền 3 tỷ, nhà ngay",Căn hộ chung cư,Cầu Giấy,1.0,3.0,38.0
"Tôi chính chủ cần bán nhà tại Ecolife, Tố Hữu. 95m2, 3 ngủ, tầng đẹp. Lh [phone_number]",Căn hộ chung cư,Nam Từ Liêm,3.0,7.41,95.0
"Nhà hiếm trong phân khúc 12,8 tỷ với nhiều tiêu chí khách hàng tìm kiếm",Nhà,Thanh Xuân,3.0,12.8,40.0
"Hot! Bán chung cư cao cấp BRG Diamond Residence 151m2, 4N3WC giá tốt nhất 14 tỷ",Căn hộ chung cư,Thanh Xuân,4.0,14.0,151.0
"Mặt phố Xuân Thủy, Cầu Giấy, 2 mặt tiền, vỉa hè bóng đá, 110m2 x MT 5m, giá 5x tỷ",Nhà,Cầu Giấy,2.0,59.5,110.0
ROMAN PLAZ 3N2W - 100M2 -NHÀ ĐẸP GIÁ RẺ - 7.2 TỶ - LH,Căn hộ chung cư,Nam Từ Liêm,3.0,7.2,100.0
"Bán căn hộ chung cư 3pn 2wc, 106m2 full đồ mới, tại C4 Nguyễn Cơ Thạch, tầng 15, không đăng ảo",Căn hộ chung cư,Nam Từ Liêm,3.0,6.0,106.0
"Hạ chào bán nhanh nhà Khuyến Lương, Hoàng Mai",Nhà,Hoàng Mai,5.0,21.5,225.0
Bán chung cư cao cấp quận Tây Hồ - đường Xuân La – diện tích 120m2 (view Hồ Tây),Căn hộ chung cư,Tây Hồ,3.0,12.0,120.0
Cần bán gấp nhà đẹp đường Hoàng Liệt. Ô tô đỗ cửa ngày đêm,Nhà,Hoàng Mai,9.0,15.1,50.0
Chính chủ bán giá thật căn 2 phòng ngủ 70m2 C14 Bắc Hà - Tố Hữu. Giá 4.65 tỷ,Căn hộ chung cư,Nam Từ Liêm,2.0,4.65,70.0
"Tòa CHDV Xã Đàn Đống Đa, 66m2, 13 phòng, dòng tiền 60 triệu/tháng, vị trí mặt ngõ, gần phố",Nhà,Đống Đa,13.0,12.0,66.0
Căn hộ hiếm tại tòa B Sông Nhuệ Đủ đồ xịn Giá còn thương lượng!,Căn hộ chung cư,Hà Đông,2.0,3.13,69.0
Bán nhà mặt phố tô hiệu - kinh doanh sầm uất - nhà dân xây - thoáng trước sau,Nhà,Hà Đông,3.0,22.0,60.0
Bán nhà KĐT Đồng Tàu- 3 Nhà ra phố - Đường Quận Uỷ- Thang máy nhập -view hồ - 36mx 5tầng giá 8xxtỷ,Nhà,Hoàng Mai,4.0,8.95,36.0
"Quá hiếm, Chùa Bộc, xây mới, thang máy, ngõ sát oto, nội thất nhập, nhà mới đẹp ở tết cực sướng",Nhà,Đống Đa,4.0,7.5,45.0
Siêu hot căn 3PN cuối cùng nhận full chiết khấu 12% tại The Paris,Căn hộ chung cư,Gia Lâm,3.0,5.85,102.0
Cực hiếm! Cần bán căn hộ 150m2 - 4 phòng ngủ - đủ đồ - hướng mát - tòa D Le Pont Dor 36 Hoàng Cầu,Căn hộ chung cư,Đống Đa,4.0,17.5,150.0
"Chủ nhà cần tiền gửi bán căn hộ giá hợp lý 95m2 3pn 5,7 tỷ",Căn hộ chung cư,Nam Từ Liêm,3.0,5.7,95.0
