listing_id,clean,address_variant,code_switched
0,"Nhà 4 phòng ngủ tại quận Bắc Từ Liêm, diện tích 37 mét vuông, giá dưới 7.95 tỷ đồng","Nhà 4 PN tại Q Bắc Từ Liêm, 37 mét vuông, giá dưới 7.95 tỷ","house 4 BR tại Bắc Từ Liêm, 37 mét vuông, giá dưới 7.95 B"
11,"Cần bán căn hộ chung cư tại quận Tây Hồ, có 3 phòng ngủ, diện tích 90 mét vuông, giá dưới 7.9 tỷ đồng.","Cần bán căn hộ chung cư tại Q Tây Hồ, 3 PN, 90 mét vuông, giá dưới 7.9 tỷ.","Need bán apartment tại Tây Hồ, 3 BR, 90 mét vuông, giá dưới 7.9 B."
17,"Nhà tại quận Cầu Giấy, 4 phòng ngủ, diện tích 41 mét vuông, giá dưới 17.2 tỷ đồng","Nhà Q Cầu Giấy, 4 PN, 41 mét vuông, giá dưới 17.2 tỷ","house tại Cầu Giấy, 4 BR, 41 mét vuông, giá dưới 17.2 B"
24,"Nhà tại quận Ba Đình, diện tích 32 mét vuông, có 3 phòng ngủ, giá dưới 5.85 tỷ đồng.","Nhà Q Ba Đình, 32 mét vuông, 3 PN, giá dưới 5.85 tỷ.","house tại Ba Đình, 32 mét vuông, 3 BR, giá dưới 5.85 B."
29,"Tìm căn hộ chung cư tại Thanh Oai, có 2 phòng ngủ, diện tích 66 mét vuông, giá dưới 3,14 tỷ đồng.","Tìm căn hộ chung cư tại Thanh Oai, 2 PN, 66 mét vuông, giá dưới 3,14 tỷ.","Tìm apartment tại Thanh Oai, 2 BR, 66 mét vuông, giá dưới 3,14 B."
35,"Nhà tại quận Tây Hồ, diện tích 50 mét vuông, có 3 phòng ngủ, giá dưới 31.3 tỷ đồng.","Nhà tại Q Tây Hồ, diện tích 50 mét vuông, có 3 PN, giá dưới 31.3 tỷ.","apartment tại Tây Hồ, diện tích 50 mét vuông, 3 BR, giá dưới 31.3 B."
41,"Cần bán căn hộ chung cư tại quận Thanh Xuân, có 2 phòng ngủ, diện tích 66 mét vuông, giá dưới 6.45 tỷ đồng.","Cần bán căn hộ chung cư tại Q Thanh Xuân, 2 PN, 66 mét vuông, giá dưới 6.45 tỷ.","Need bán apartment tại Thanh Xuân, 2 BR, 66 mét vuông, giá dưới 6.45 B."
42,"Nhà tại quận Đống Đa, diện tích 30 mét vuông, 3 phòng ngủ, giá dưới 6.85 tỷ đồng.","Nhà Q Đống Đa, 30 mét vuông, 3 PN, giá dưới 6.85 tỷ.","house tại Đống Đa, 30 mét vuông, 3 BR, giá dưới 6.85 B."
43,"Nhà tại quận Hoàng Mai, 4 phòng ngủ, diện tích 70 mét vuông, giá dưới 11.1 tỷ đồng.","Nhà tại Q Hoàng Mai, 4 PN, 70 mét vuông, giá dưới 11.1 tỷ.","house tại Hoàng Mai, 4 BR, 70 mét vuông, giá dưới 11.1 B."
59,"Nhà tại quận Long Biên, diện tích 55 mét vuông, 4 phòng ngủ, giá dưới 11.5 tỷ đồng.","Nhà tại Q Long Biên, diện tích 55 mét vuông, 4 PN, giá dưới 11.5 tỷ.","house tại Long Biên, diện tích 55 mét vuông, 4 BR, giá dưới 11.5 B."
